"","Rank","Name","Nation","Total Points","SP_rank","SP_score","FS_rank","FS_score","Year","Host","Discipline"
"302","14","Yannick Ponsero","France","192.63","12","68.76","15","123.87",2007,"Japan","Men"
"303","15","Ryan Bradley","United States","188.90","19","62.88","13","126.02",2007,"Japan","Men"
"304","16","Emanuel Sandhu","Canada","188.59","11","69.42","16","119.17",2007,"Japan","Men"
"305","17","Karel Zelenka","Italy","180.10","17","63.81","17","116.29",2007,"Japan","Men"
"306","18","Jamal Othman","Switzerland","178.39","18","63.71","20","114.68",2007,"Japan","Men"
"307","19","Sergei Voronov","Russia","176.57","22","60.50","19","116.07",2007,"Japan","Men"
"308","20","Andrei Lutai","Russia","175.46","24","59.37","18","116.09",2007,"Japan","Men"
"309","21","Igor Macypura","Slovakia","174.94","21","61.25","22","113.69",2007,"Japan","Men"
"310","22","Gregor Urbas","Slovenia","174.39","23","59.93","21","114.46",2007,"Japan","Men"
"311","23","Wu Jialiang","China","170.10","13","67.70","24","102.40",2007,"Japan","Men"
"312","24","Anton Kovalevski","Ukraine","169.27","20","61.61","23","107.66",2007,"Japan","Men"
"313","1","Stéphane Lambiel","Switzerland","274.22","4","77.41","1","156.58",2006,"Canada","Men"
"314","2","Brian Joubert","France","270.83","1","80.31","2","156.47",2006,"Canada","Men"
"315","3","Evan Lysacek","United States","255.22","8","70.32","3","149.97",2006,"Canada","Men"
"316","4","Nobunari Oda","Japan","251.21","3","78.25","5","136.73",2006,"Canada","Men"
"317","5","Emanuel Sandhu","Canada","249.89","2","78.41","4","142.53",2006,"Canada","Men"
"318","6","Jeffrey Buttle","Canada","241.59","7","73.30","7","133.81",2006,"Canada","Men"
"319","7","Johnny Weir","United States","235.57","5","73.53","8","128.66",2006,"Canada","Men"
"320","8","Alban Préaubert","France","230.95","17","61.62","6","136.15",2006,"Canada","Men"
"321","9","Li Chengjiang","China","229.03","6","73.39","15","124.21",2006,"Canada","Men"
"322","10","Ilia Klimkin","Russia","227.78","10","68.72","10","126.41",2006,"Canada","Men"
"323","11","Matthew Savoie","United States","227.41","9","69.25","9","128.08",2006,"Canada","Men"
"324","12","Sergei Davydov","Belarus","222.44","12","66.07","11","125.54",2006,"Canada","Men"
"325","13","Tomáš Verner","Czech Republic","221.83","11","67.05","14","124.50",2006,"Canada","Men"
"326","14","Gheorghe Chiper","Romania","219.34","15","64.95","12","125.29",2006,"Canada","Men"
"327","15","Zhang Min","China","216.59","19","59.70","13","124.78",2006,"Canada","Men"
"328","16","Anton Kovalevski","Ukraine","211.93","14","65.67","19","117.82",2006,"Canada","Men"
"329","17","Andrei Griazev","Russia","208.37","21","57.96","16","121.58",2006,"Canada","Men"
"330","18","Roman Serov","Israel","207.14","16","64.36","20","114.23",2006,"Canada","Men"
"331","19","Ivan Dinev","Bulgaria","206.86","18","60.57","18","118.90",2006,"Canada","Men"
"332","20","Silvio Smalun","Germany","206.58","13","65.92","21","112.11",2006,"Canada","Men"
"333","21","Shawn Sawyer","Canada","201.05","25","53.23","17","120.02",2006,"Canada","Men"
"334","22","Gregor Urbas","Slovenia","198.54","20","59.60","23","110.22",2006,"Canada","Men"
"335","23","Kristoffer Berntsson","Sweden","192.47","23","56.21","22","110.37",2006,"Canada","Men"
"336","24","Trifun Zivanovic","Serbia and Montenegro","183.05","22","56.39","24","101.44",2006,"Canada","Men"
"337","1","Alina Zagitova","Russia","237.50","1","82.08","1","155.42",2019,"Japan","Ladies"
"338","2","Elizabet Tursynbaeva","Kazakhstan","224.76","3","75.96","4","148.80",2019,"Japan","Ladies"
"339","3","Evgenia Medvedeva","Russia","223.80","4","74.23","3","149.57",2019,"Japan","Ladies"
"340","4","Rika Kihira","Japan","223.49","7","70.90","2","152.59",2019,"Japan","Ladies"
"341","5","Kaori Sakamoto","Japan","222.83","2","76.86","5","145.97",2019,"Japan","Ladies"
"342","6","Satoko Miyahara","Japan","215.95","8","70.60","6","145.35",2019,"Japan","Ladies"
"343","7","Bradie Tennell","United States","213.47","10","69.50","7","143.97",2019,"Japan","Ladies"
"344","8","Sofia Samodurova","Russia","208.58","9","70.42","8","138.16",2019,"Japan","Ladies"
"345","9","Mariah Bell","United States","208.07","6","71.26","9","136.81",2019,"Japan","Ladies"
"346","10","Lim Eun-soo","South Korea","205.57","5","72.91","10","132.66",2019,"Japan","Ladies"
"347","11","Gabrielle Daleman","Canada","192.67","11","69.19","12","123.48",2019,"Japan","Ladies"
"348","12","Loena Hendrickx","Belgium","186.29","13","62.60","11","123.69",2019,"Japan","Ladies"
"349","13","Ekaterina Ryabova","Azerbaijan","179.88","17","57.18","13","122.70",2019,"Japan","Ladies"
"350","14","Yi Christy Leung","Hong Kong","177.22","14","58.60","14","118.62",2019,"Japan","Ladies"
"351","15","Laurine Lecavelier","France","170.59","19","56.81","15","113.78",2019,"Japan","Ladies"
"352","16","Nicole Schott","Germany","170.56","12","63.18","17","107.38",2019,"Japan","Ladies"
"353","17","Alexandra Feigin","Bulgaria","165.31","20","56.69","16","108.62",2019,"Japan","Ladies"
"354","18","Daša Grm","Slovenia","161.16","16","57.58","18","103.58",2019,"Japan","Ladies"
"355","19","Chen Hongyi","China","157.59","15","58.53","19","99.06",2019,"Japan","Ladies"
"356","20","Eliška Březinová","Czech Republic","153.45","18","57.13","20","96.32",2019,"Japan","Ladies"
"357","21","Natasha McKay","United Kingdom","151.56","21","56.40","21","95.16",2019,"Japan","Ladies"
"358","22","Eva Lotta Kiibus","Estonia","149.99","23","55.38","22","94.61",2019,"Japan","Ladies"
"359","23","Alaine Chartrand","Canada","148.97","22","55.89","23","93.08",2019,"Japan","Ladies"
"360","24","Isadora Williams","Brazil","143.22","24","55.20","24","88.02",2019,"Japan","Ladies"
"361","1","Kaetlyn Osmond","Canada","223.23","4","72.73","1","150.50",2018,"Italy","Ladies"
"362","2","Wakaba Higuchi","Japan","210.90","8","65.89","2","145.01",2018,"Italy","Ladies"
"363","3","Satoko Miyahara","Japan","210.08","3","74.36","3","135.72",2018,"Italy","Ladies"
"364","4","Carolina Kostner","Italy","208.88","1","80.27","5","128.61",2018,"Italy","Ladies"
"365","5","Alina Zagitova","Russia","207.72","2","79.51","7","128.21",2018,"Italy","Ladies"
"366","6","Bradie Tennell","United States","199.89","7","68.76","4","131.13",2018,"Italy","Ladies"
"367","7","Gabrielle Daleman","Canada","196.72","6","71.61","8","125.11",2018,"Italy","Ladies"
"368","8","Maria Sotskova","Russia","196.61","5","71.80","9","124.81",2018,"Italy","Ladies"
"369","9","Loena Hendrickx","Belgium","192.31","10","64.07","6","128.24",2018,"Italy","Ladies"
"370","10","Mirai Nagasu","United States","187.52","9","65.21","11","122.31",2018,"Italy","Ladies"
"371","11","Elizabet Tursynbayeva","Kazakhstan","186.85","11","62.38","10","124.47",2018,"Italy","Ladies"
"372","12","Mariah Bell","United States","174.40","17","59.15","12","115.25",2018,"Italy","Ladies"
"373","13","Nicole Schott","Germany","174.13","12","61.84","14","112.29",2018,"Italy","Ladies"
"374","14","Laurine Lecavelier","France","173.23","15","59.79","13","113.44",2018,"Italy","Ladies"
"375","15","Kim Ha-nul","South Korea","170.68","14","60.14","15","110.54",2018,"Italy","Ladies"
"376","16","Viveca Lindfors","Finland","166.23","13","60.18","16","106.05",2018,"Italy","Ladies"
"377","17","Kailani Craine","Australia","154.41","20","56.90","18","97.51",2018,"Italy","Ladies"
"378","18","Eliška Březinová","Czech Republic","153.14","18","58.37","19","94.77",2018,"Italy","Ladies"
"379","19","Stanislava Konstantinova","Russia","153.03","16","59.19","20","93.84",2018,"Italy","Ladies"
"380","20","Alexia Paganini","Switzerland","149.66","19","57.86","22","91.80",2018,"Italy","Ladies"
"381","21","Elisabetta Leccardi","Italy","149.17","23","51.13","17","98.04",2018,"Italy","Ladies"
"382","22","Daša Grm","Slovenia","144.51","22","52.43","21","92.08",2018,"Italy","Ladies"
"383","23","Ivett Tóth","Hungary","136.87","24","50.63","23","86.24",2018,"Italy","Ladies"
"384","WD","Choi Da-bin","South Korea","55.30","21","55.30","N/A","N/A",2018,"Italy","Ladies"
"385","1","Evgenia Medvedeva","Russia","233.41","1","79.01","1","154.40",2017,"Finland","Ladies"
"386","2","Kaetlyn Osmond","Canada","218.13","2","75.98","2","142.15",2017,"Finland","Ladies"
"387","3","Gabrielle Daleman","Canada","213.52","3","72.19","3","141.33",2017,"Finland","Ladies"
"388","4","Karen Chen","United States","199.29","5","69.98","6","129.31",2017,"Finland","Ladies"
"389","5","Mai Mihara","Japan","197.88","15","59.59","4","138.29",2017,"Finland","Ladies"
"390","6","Carolina Kostner","Italy","196.83","8","66.33","5","130.50",2017,"Finland","Ladies"
"391","7","Ashley Wagner","United States","193.54","7","69.04","10","124.50",2017,"Finland","Ladies"
"392","8","Maria Sotskova","Russia","192.20","6","69.76","11","122.44",2017,"Finland","Ladies"
"393","9","Elizabet Tursynbayeva","Kazakhstan","191.99","10","65.48","8","126.51",2017,"Finland","Ladies"
"394","10","Choi Da-bin","South Korea","191.11","11","62.66","7","128.45",2017,"Finland","Ladies"
"395","11","Wakaba Higuchi","Japan","188.05","9","65.87","12","122.18",2017,"Finland","Ladies"
"396","12","Mariah Bell","United States","187.23","13","61.02","9","126.21",2017,"Finland","Ladies"
"397","13","Anna Pogorilaya","Russia","183.37","4","71.52","15","111.85",2017,"Finland","Ladies"
"398","14","Li Xiangning","China","175.37","16","58.28","13","117.09",2017,"Finland","Ladies"
"399","15","Loena Hendrickx","Belgium","172.82","17","57.54","14","115.28",2017,"Finland","Ladies"
"400","16","Rika Hongo","Japan","169.83","12","62.55","18","107.28",2017,"Finland","Ladies"
"401","17","Nicole Rajičová","Slovakia","165.55","18","57.08","16","108.47",2017,"Finland","Ladies"
"402","18","Laurine Lecavelier","France","162.99","22","55.49","17","107.50",2017,"Finland","Ladies"
"403","19","Nicole Schott","Germany","161.41","24","54.83","19","106.58",2017,"Finland","Ladies"
"404","20","Ivett Tóth","Hungary","160.77","14","61.00","21","99.77",2017,"Finland","Ladies"
"405","21","Li Zijun","China","159.80","20","56.30","20","103.50",2017,"Finland","Ladies"
"406","22","Angelīna Kučvaļska","Latvia","155.02","21","55.92","22","99.10",2017,"Finland","Ladies"
"407","23","Anastasia Galustyan","Armenia","153.47","23","55.20","23","98.27",2017,"Finland","Ladies"
"408","24","Kailani Craine","Australia","152.94","19","56.97","24","95.97",2017,"Finland","Ladies"
"409","1","Evgenia Medvedeva","Russia","223.86","3","73.76","1","150.10",2016,"United States","Ladies"
"410","2","Ashley Wagner","United States","215.39","4","73.16","2","142.23",2016,"United States","Ladies"
"411","3","Anna Pogorilaya","Russia","213.69","2","73.98","4","139.71",2016,"United States","Ladies"
"412","4","Gracie Gold","United States","211.29","1","76.43","6","134.86",2016,"United States","Ladies"
"413","5","Satoko Miyahara","Japan","210.61","6","70.72","3","139.89",2016,"United States","Ladies"
"414","6","Elena Radionova","Russia","209.81","5","71.70","5","138.11",2016,"United States","Ladies"
"415","7","Mao Asada","Japan","200.30","9","65.87","7","134.43",2016,"United States","Ladies"
"416","8","Rika Hongo","Japan","199.15","7","69.89","8","129.26",2016,"United States","Ladies"
"417","9","Gabrielle Daleman","Canada","195.68","8","67.38","9","128.30",2016,"United States","Ladies"
"418","10","Mirai Nagasu","United States","186.65","10","65.74","11","120.91",2016,"United States","Ladies"
"419","11","Li Zijun","China","184.52","11","65.39","12","119.13",2016,"United States","Ladies"
"420","12","Elizabet Tursynbaeva","Kazakhstan","183.62","12","61.63","10","121.99",2016,"United States","Ladies"
"421","13","Nicole Rajičová","Slovakia","173.05","15","56.56","13","116.49",2016,"United States","Ladies"
"422","14","Choi Da-bin","South Korea","159.92","16","56.02","15","103.90",2016,"United States","Ladies"
"423","15","Angelīna Kučvaļska","Latvia","158.99","18","54.78","14","104.21",2016,"United States","Ladies"
"424","16","Roberta Rodeghiero","Italy","158.41","13","57.90","19","100.51",2016,"United States","Ladies"
"425","17","Alaine Chartrand","Canada","157.82","17","55.67","17","102.15",2016,"United States","Ladies"
"426","18","Park So-youn","South Korea","154.24","22","52.27","18","101.97",2016,"United States","Ladies"
"427","19","Anna Khnychenkova","Ukraine","154.02","19","53.86","20","100.16",2016,"United States","Ladies"
"428","20","Viveca Lindfors","Finland","152.93","23","50.18","16","102.75",2016,"United States","Ladies"
"429","21","Amy Lin","Chinese Taipei","146.55","14","57.50","22","89.05",2016,"United States","Ladies"
"430","22","Niki Wories","Netherlands","140.87","24","49.86","21","91.01",2016,"United States","Ladies"
"431","23","Zhao Ziquan","China","139.67","21","52.80","23","86.87",2016,"United States","Ladies"
"432","24","Anastasia Galustyan","Armenia","136.07","20","53.24","24","82.83",2016,"United States","Ladies"
"433","1","Elizaveta Tuktamysheva","Russia","210.36","1","77.62","1","132.74",2015,"China","Ladies"
"434","2","Satoko Miyahara","Japan","193.60","3","67.02","4","126.58",2015,"China","Ladies"
"435","3","Elena Radionova","Russia","191.47","2","69.51","6","121.96",2015,"China","Ladies"
"436","4","Gracie Gold","United States","188.96","8","60.73","2","128.23",2015,"China","Ladies"
"437","5","Ashley Wagner","United States","185.01","11","57.81","3","127.20",2015,"China","Ladies"
"438","6","Rika Hongo","Japan","184.58","5","62.17","5","122.41",2015,"China","Ladies"
"439","7","Kanako Murakami","Japan","179.66","4","65.48","8","114.18",2015,"China","Ladies"
"440","8","Polina Edmunds","United States","177.83","7","61.71","7","116.12",2015,"China","Ladies"
"441","9","Li Zijun","China","165.22","6","61.83","11","103.39",2015,"China","Ladies"
"442","10","Maé-Bérénice Méité","France","162.75","12","57.08","10","105.67",2015,"China","Ladies"
"443","11","Alaine Chartrand","Canada","161.18","10","60.24","12","100.94",2015,"China","Ladies"
"444","12","Park So-youn","South Korea","160.75","15","53.95","9","106.80",2015,"China","Ladies"
"445","13","Anna Pogorilaya","Russia","160.31","9","60.50","13","99.81",2015,"China","Ladies"
"446","14","Joshi Helgesson","Sweden","155.35","13","56.28","14","99.07",2015,"China","Ladies"
"447","15","Nicole Rajičová","Slovakia","152.61","14","54.40","15","98.21",2015,"China","Ladies"
"448","16","Angelīna Kučvaļska","Latvia","141.54","23","45.74","16","95.80",2015,"China","Ladies"
"449","17","Anne Line Gjersem","Norway","139.75","20","49.25","17","90.50",2015,"China","Ladies"
"450","18","Daša Grm","Slovenia","137.45","22","47.21","18","90.24",2015,"China","Ladies"
"451","19","Kim Hae-jin","South Korea","136.24","18","50.03","19","86.21",2015,"China","Ladies"
"452","20","Roberta Rodeghiero","Italy","134.74","17","51.42","21","83.32",2015,"China","Ladies"
"453","21","Gabrielle Daleman","Canada","133.57","21","48.13","20","85.44",2015,"China","Ladies"
"454","22","Elene Gedevanishvili","Georgia","132.25","16","52.11","22","80.14",2015,"China","Ladies"
"455","23","Nicole Schott","Germany","127.56","19","49.29","23","78.27",2015,"China","Ladies"
"456","24","Giada Russo","Italy","120.11","24","43.85","24","76.26",2015,"China","Ladies"
"457","1","Mao Asada","Japan","216.69","1","78.66","1","138.03",2014,"Japan","Ladies"
"458","2","Yulia Lipnitskaya","Russia","207.50","3","74.54","2","132.96",2014,"Japan","Ladies"
"459","3","Carolina Kostner","Italy","203.83","2","77.24","6","126.59",2014,"Japan","Ladies"
"460","4","Anna Pogorilaya","Russia","197.50","6","66.26","3","131.24",2014,"Japan","Ladies"
"461","5","Gracie Gold","United States","194.58","5","70.31","7","124.27",2014,"Japan","Ladies"
"462","6","Akiko Suzuki","Japan","193.72","4","71.02","8","122.70",2014,"Japan","Ladies"
"463","7","Ashley Wagner","United States","193.16","7","63.64","4","129.52",2014,"Japan","Ladies"
"464","8","Polina Edmunds","United States","187.50","12","60.59","5","126.91",2014,"Japan","Ladies"
"465","9","Park So-youn","South Korea","176.61","13","57.22","9","119.39",2014,"Japan","Ladies"
"466","10","Kanako Murakami","Japan","172.44","10","60.86","10","111.58",2014,"Japan","Ladies"
"467","11","Kaetlyn Osmond","Canada","170.64","8","62.92","13","107.72",2014,"Japan","Ladies"
"468","12","Nathalie Weinzierl","Germany","167.72","11","60.82","15","106.90",2014,"Japan","Ladies"
"469","13","Gabrielle Daleman","Canada","164.78","14","55.72","11","109.06",2014,"Japan","Ladies"
"470","14","Joshi Helgesson","Sweden","162.91","15","54.96","12","107.95",2014,"Japan","Ladies"
"471","15","Maé-Bérénice Méité","France","158.72","9","61.62","16","97.10",2014,"Japan","Ladies"
"472","16","Valentina Marchei","Italy","157.64","22","50.27","14","107.37",2014,"Japan","Ladies"
"473","17","Li Zijun","China","150.34","16","54.37","17","95.97",2014,"Japan","Ladies"
"474","18","Eliška Březinová","Czech Republic","145.15","24","49.34","18","95.81",2014,"Japan","Ladies"
"475","19","Brooklee Han","Australia","144.28","18","53.20","19","91.08",2014,"Japan","Ladies"
"476","20","Anna Ovcharova","Switzerland","143.22","17","54.19","20","89.03",2014,"Japan","Ladies"
"477","21","Natalia Popova","Ukraine","135.05","21","50.32","21","84.73",2014,"Japan","Ladies"
"478","22","Anne Line Gjersem","Norway","130.03","23","49.48","22","80.55",2014,"Japan","Ladies"
"479","23","Kim Hae-jin","South Korea","129.82","19","51.83","23","77.99",2014,"Japan","Ladies"
"480","24","Jenna McCorkell","Great Britain","50.56","20","50.56","WD","",2014,"Japan","Ladies"
"481","1","Kim Yuna","South Korea","218.31","1","69.97","1","148.34",2013,"Canada","Ladies"
"482","2","Carolina Kostner","Italy","197.89","2","66.86","3","131.03",2013,"Canada","Ladies"
"483","3","Mao Asada","Japan","196.47","6","62.10","2","134.37",2013,"Canada","Ladies"
"484","4","Kanako Murakami","Japan","189.73","3","66.64","7","123.09",2013,"Canada","Ladies"
"485","5","Ashley Wagner","United States","187.34","5","63.98","6","123.36",2013,"Canada","Ladies"
"486","6","Gracie Gold","United States","184.25","9","58.85","5","125.40",2013,"Canada","Ladies"
"487","7","Li Zijun","China","183.85","12","56.31","4","127.54",2013,"Canada","Ladies"
"488","8","Kaetlyn Osmond","Canada","176.82","4","64.73","10","112.09",2013,"Canada","Ladies"
"489","9","Adelina Sotnikova","Russia","175.98","8","59.62","9","116.36",2013,"Canada","Ladies"
"490","10","Elizaveta Tuktamysheva","Russia","174.24","14","54.72","8","119.52",2013,"Canada","Ladies"
"491","11","Maé Bérénice Méité","France","165.03","11","56.90","11","108.13",2013,"Canada","Ladies"
"492","12","Akiko Suzuki","Japan","164.59","7","61.17","13","103.42",2013,"Canada","Ladies"
"493","13","Alena Leonova","Russia","159.06","13","56.30","14","102.76",2013,"Canada","Ladies"
"494","14","Viktoria Helgesson","Sweden","158.80","10","58.36","15","100.44",2013,"Canada","Ladies"
"495","15","Natalia Popova","Ukraine","155.52","17","51.67","12","103.85",2013,"Canada","Ladies"
"496","16","Jelena Glebova","Estonia","152.49","15","54.59","16","97.90",2013,"Canada","Ladies"
"497","17","Monika Simančíková","Slovakia","149.02","19","51.18","17","97.84",2013,"Canada","Ladies"
"498","18","Valentina Marchei","Italy","147.23","21","50.41","18","96.82",2013,"Canada","Ladies"
"499","19","Nathalie Weinzierl","Germany","142.48","24","48.14","19","94.34",2013,"Canada","Ladies"
"500","20","Jenna McCorkell","Great Britain","142.27","18","51.23","21","91.04",2013,"Canada","Ladies"
"501","21","Brooklee Han","Australia","141.88","20","50.62","20","91.26",2013,"Canada","Ladies"
"502","22","Sonia Lafuente","Spain","139.66","16","52.44","23","87.22",2013,"Canada","Ladies"
"503","23","Zhang Kexin","China","137.41","23","48.80","22","88.61",2013,"Canada","Ladies"
"504","24","Kerstin Frank","Austria","127.98","22","49.66","24","78.32",2013,"Canada","Ladies"
"505","1","Carolina Kostner","Italy","189.94","3","61.00","1","128.94",2012,"France","Ladies"
"506","2","Alena Leonova","Russia","184.28","1","64.61","4","119.67",2012,"France","Ladies"
"507","3","Akiko Suzuki","Japan","180.68","5","59.38","2","121.30",2012,"France","Ladies"
"508","4","Ashley Wagner","United States","176.77","8","56.42","3","120.35",2012,"France","Ladies"
"509","5","Kanako Murakami","Japan","175.41","2","62.67","5","112.74",2012,"France","Ladies"
"510","6","Mao Asada","Japan","164.52","4","59.49","6","105.03",2012,"France","Ladies"
"511","7","Zhang Kexin","China","157.57","9","55.00","7","102.57",2012,"France","Ladies"
"512","8","Valentina Marchei","Italy","150.10","11","52.14","9","97.96",2012,"France","Ladies"
"513","9","Ksenia Makarova","Russia","149.48","6","58.51","14","90.97",2012,"France","Ladies"
"514","10","Elene Gedevanishvili","Georgia","149.20","7","58.49","15","90.71",2012,"France","Ladies"
"515","11","Viktoria Helgesson","Sweden","148.54","10","54.19","11","94.35",2012,"France","Ladies"
"516","12","Yrétha Silété","France","148.18","15","48.42","8","99.76",2012,"France","Ladies"
"517","13","Jelena Glebova","Estonia","144.28","14","49.04","10","95.24",2012,"France","Ladies"
"518","14","Jenna McCorkell","Great Britain","143.84","12","50.42","12","93.42",2012,"France","Ladies"
"519","15","Sonia Lafuente","Spain","140.24","18","47.36","13","92.88",2012,"France","Ladies"
"520","16","Amélie Lacoste","Canada","138.60","13","49.37","17","89.23",2012,"France","Ladies"
"521","17","Natalia Popova","Ukraine","136.36","20","46.60","16","89.76",2012,"France","Ladies"
"522","18","Juulia Turkkila","Finland","135.56","17","47.75","18","87.81",2012,"France","Ladies"
"523","19","Polina Korobeynikova","Russia","129.98","19","46.71","19","83.27",2012,"France","Ladies"
"524","20","Sarah Hecken","Germany","129.20","21","46.39","20","82.81",2012,"France","Ladies"
"525","21","Kerstin Frank","Austria","126.17","22","45.80","21","80.37",2012,"France","Ladies"
"526","22","Alissa Czisny","United States","124.11","16","48.31","22","75.80",2012,"France","Ladies"
"527","23","Romy Bühler","Switzerland","116.21","24","44.02","23","72.19",2012,"France","Ladies"
"528","24","Alisa Mikonsaari","Finland","110.40","23","44.16","24","66.24",2012,"France","Ladies"
"529","1","Miki Ando","Japan","195.79","2","65.58","1","130.21",2011,"Russia","Ladies"
"530","2","Kim Yuna","Korea","194.50","1","65.91","2","128.59",2011,"Russia","Ladies"
"531","3","Carolina Kostner","Italy","184.68","6","59.75","3","124.93",2011,"Russia","Ladies"
"532","4","Alena Leonova","Russia","183.92","5","59.75","4","124.17",2011,"Russia","Ladies"
"533","5","Alissa Czisny","United States","182.25","4","61.47","5","120.78",2011,"Russia","Ladies"
"534","6","Mao Asada","Japan","172.79","7","58.66","6","114.13",2011,"Russia","Ladies"
"535","7","Ksenia Makarova","Russia","167.22","3","61.62","9","105.60",2011,"Russia","Ladies"
"536","8","Kanako Murakami","Japan","167.10","10","54.86","7","112.24",2011,"Russia","Ladies"
"537","9","Kiira Korpi","Finland","164.80","9","55.09","8","109.71",2011,"Russia","Ladies"
"538","10","Elene Gedevanishvili","Georgia","156.24","15","51.61","10","104.63",2011,"Russia","Ladies"
"539","11","Sarah Hecken","Germany","155.83","12","52.73","11","103.10",2011,"Russia","Ladies"
"540","12","Rachael Flatt","United States","154.61","8","57.22","14","97.39",2011,"Russia","Ladies"
"541","13","Cynthia Phaneuf","Canada","152.78","13","52.62","12","100.16",2011,"Russia","Ladies"
"542","14","Maé Bérénice Méité","France","150.44","11","53.26","15","97.18",2011,"Russia","Ladies"
"543","15","Joshi Helgesson","Sweden","149.08","16","50.25","13","98.83",2011,"Russia","Ladies"
"544","16","Amélie Lacoste","Canada","144.76","14","51.98","18","92.78",2011,"Russia","Ladies"
"545","17","Viktoria Helgesson","Sweden","142.52","24","45.40","16","97.12",2011,"Russia","Ladies"
"546","18","Bingwa Geng","China","140.78","19","47.89","17","92.89",2011,"Russia","Ladies"
"547","19","Ira Vannut","Belgium","138.28","17","49.34","20","89.05",2011,"Russia","Ladies"
"548","20","Juulia Turkkila","Finland","136.68","22","45.70","19","90.98",2011,"Russia","Ladies"
"549","21","Cheltzie Lee","Australia","133.65","18","48.20","21","85.45",2011,"Russia","Ladies"
"550","22","Jelena Glebova","Estonia","124.78","20","46.28","22","78.50",2011,"Russia","Ladies"
"551","23","Irina Movchan","Ukraine","123.15","23","45.68","23","77.47",2011,"Russia","Ladies"
"552","24","Jenna McCorkell","Great Britain","121.76","21","45.99","24","75.77",2011,"Russia","Ladies"
"553","1","Mao Asada","Japan","197.58","2","68.08","2","129.50",2010,"Italy","Ladies"
"554","2","Kim Yuna","South Korea","190.79","7","60.30","1","130.49",2010,"Italy","Ladies"
"555","3","Laura Lepistö","Finland","178.62","3","64.30","6","114.32",2010,"Italy","Ladies"
"556","4","Miki Ando","Japan","177.82","11","55.78","3","122.04",2010,"Italy","Ladies"
"557","5","Cynthia Phaneuf","Canada","177.54","8","59.50","4","118.04",2010,"Italy","Ladies"
"558","6","Carolina Kostner","Italy","177.31","4","62.20","5","115.11",2010,"Italy","Ladies"
"559","7","Mirai Nagasu","United States","175.48","1","70.40","11","105.08",2010,"Italy","Ladies"
"560","8","Ksenia Makarova","Russia","169.64","5","62.06","8","107.58",2010,"Italy","Ladies"
"561","9","Rachael Flatt","United States","167.44","6","60.88","9","106.56",2010,"Italy","Ladies"
"562","10","Viktoria Helgesson","Sweden","161.79","9","56.32","10","105.47",2010,"Italy","Ladies"
"563","11","Akiko Suzuki","Japan","160.04","20","48.36","7","111.68",2010,"Italy","Ladies"
"564","12","Sarah Hecken","Germany","153.94","13","55.20","13","98.74",2010,"Italy","Ladies"
"565","13","Alena Leonova","Russia","152.86","14","54.36","14","98.50",2010,"Italy","Ladies"
"566","14","Jenna McCorkell","United Kingdom","150.90","15","52.12","12","98.78",2010,"Italy","Ladies"
"567","15","Júlia Sebestyén","Hungary","147.66","10","56.10","15","91.56",2010,"Italy","Ladies"
"568","16","Liu Yan","China","141.29","18","49.96","16","91.33",2010,"Italy","Ladies"
"569","17","Cheltzie Lee","Australia","137.78","17","51.36","17","86.42",2010,"Italy","Ladies"
"570","18","Elene Gedevanishvili","Georgia","137.33","12","55.26","21","82.07",2010,"Italy","Ladies"
"571","19","Kiira Korpi","Finland","134.49","16","51.72","20","82.77",2010,"Italy","Ladies"
"572","20","Sonia Lafuente","Spain","133.31","21","47.72","18","85.59",2010,"Italy","Ladies"
"573","21","Jelena Glebova","Estonia","132.85","22","47.72","19","85.13",2010,"Italy","Ladies"
"574","22","Kwak Min-jeong","South Korea","120.47","23","47.46","22","73.01",2010,"Italy","Ladies"
"575","23","Anastasia Gimazetdinova","Uzbekistan","113.89","19","49.10","23","64.79",2010,"Italy","Ladies"
"576","24","Manouk Gijsman","Netherlands","111.94","24","47.44","24","64.50",2010,"Italy","Ladies"
"577","1","Kim Yuna","South Korea","207.71","1","76.12","1","131.59",2009,"United States","Ladies"
"578","2","Joannie Rochette","Canada","191.29","2","67.90","3","123.39",2009,"United States","Ladies"
"579","3","Miki Ando","Japan","190.38","4","64.12","2","126.26",2009,"United States","Ladies"
"580","4","Mao Asada","Japan","188.09","3","66.06","4","122.03",2009,"United States","Ladies"
"581","5","Rachael Flatt","United States","172.41","7","59.30","5","113.11",2009,"United States","Ladies"
"582","6","Laura Lepistö","Finland","170.07","6","59.66","7","110.41",2009,"United States","Ladies"
"583","7","Alena Leonova","Russia","168.91","11","58.18","6","110.73",2009,"United States","Ladies"
"584","8","Fumie Suguri","Japan","164.58","9","58.40","9","106.18",2009,"United States","Ladies"
"585","9","Sarah Meier","Switzerland","163.37","10","58.36","10","105.01",2009,"United States","Ladies"
"586","10","Elene Gedevanishvili","Georgia","162.48","8","58.82","11","103.66",2009,"United States","Ladies"
"587","11","Alissa Czisny","United States","159.78","14","53.28","8","106.50",2009,"United States","Ladies"
"588","12","Carolina Kostner","Italy","153.56","5","63.18","15","90.38",2009,"United States","Ladies"
"589","13","Susanna Pöykiö","Finland","153.31","12","57.12","12","96.19",2009,"United States","Ladies"
"590","14","Ivana Reitmayerová","Slovakia","147.41","16","52.98","13","94.43",2009,"United States","Ladies"
